drain_id,zone,drain_type,diameter_or_width_m,depth_m,capacity_m3_per_second,current_load_percent,blockage_percent,last_cleaning_date,overflow_history_count,connected_roads,pumping_station_connected,outfall_location,responsible_department,status
CHE-D-001,Velachery,underground_conduit,0.90,1.36,2.81,37,38,2026-08-23,5,CHE-ROAD-001,TRUE,Velachery outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-002,Velachery,box_drain,1.48,0.54,1.51,47,28,2026-07-26,4,CHE-ROAD-002,TRUE,Velachery outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-003,Velachery,underground_conduit,1.73,1.30,5.17,60,29,2026-06-26,4,CHE-ROAD-003,FALSE,Velachery outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-004,Velachery,underground_conduit,1.22,0.72,1.58,89,5,2026-07-02,3,CHE-ROAD-004,FALSE,Velachery outfall channel,GCC Storm Water Drainage Dept.,critical
CHE-D-005,Velachery,culvert,2.15,1.20,3.63,36,18,2026-06-23,5,CHE-ROAD-005,FALSE,Velachery outfall channel,GCC Storm Water Drainage Dept.,normal
CHE-D-006,Velachery,culvert,2.14,1.60,8.00,55,29,2026-07-13,6,CHE-ROAD-006,FALSE,Velachery outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-007,Velachery,culvert,1.50,1.17,3.55,43,33,2026-07-26,2,CHE-ROAD-007,TRUE,Velachery outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-008,Velachery,box_drain,2.11,0.70,3.12,62,47,2026-07-25,2,CHE-ROAD-008,TRUE,Velachery outfall channel,GCC Storm Water Drainage Dept.,critical
CHE-D-009,Velachery,roadside_open,1.53,1.77,4.26,41,7,2026-06-19,3,CHE-ROAD-009,FALSE,Velachery outfall channel,GCC Storm Water Drainage Dept.,normal
CHE-D-010,Adyar,stormwater_channel,1.66,0.73,1.82,64,39,2026-07-13,4,CHE-ROAD-010,TRUE,Adyar outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-011,Adyar,culvert,0.78,1.35,2.14,54,12,2026-07-13,2,CHE-ROAD-011,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,normal
CHE-D-012,Adyar,culvert,1.67,0.68,2.45,69,38,2026-06-17,6,CHE-ROAD-012,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-013,Adyar,stormwater_channel,1.09,0.65,1.43,81,36,2026-07-04,3,CHE-ROAD-013,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,needs_cleaning
CHE-D-014,Adyar,underground_conduit,0.88,1.04,2.13,44,16,2026-07-29,6,CHE-ROAD-014,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,normal
CHE-D-015,Adyar,box_drain,0.75,0.78,0.96,40,43,2026-06-16,6,CHE-ROAD-015,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,critical
CHE-D-016,Adyar,underground_conduit,1.30,1.52,3.35,52,48,2026-07-26,2,CHE-ROAD-016,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,critical
CHE-D-017,Adyar,stormwater_channel,0.71,1.13,1.18,59,13,2026-07-27,5,CHE-ROAD-017,FALSE,Adyar outfall channel,GCC Storm Water Drainage Dept.,normal
