drain_id,zone,drain_type,diameter_or_width_m,depth_m,capacity_m3_per_second,current_load_percent,blockage_percent,last_cleaning_date,overflow_history_count,connected_roads,pumping_station_connected,outfall_location,responsible_department,status
DEL-D-001,Rohini,roadside_open,0.75,1.67,2.94,63,33,2026-06-16,0,DEL-ROAD-001,TRUE,Rohini outfall channel,Delhi PWD Drainage Dept.,needs_cleaning
DEL-D-002,Rohini,roadside_open,1.37,1.53,3.02,39,45,2026-06-18,1,DEL-ROAD-002,FALSE,Rohini outfall channel,Delhi PWD Drainage Dept.,critical
DEL-D-003,Rohini,box_drain,2.14,0.65,2.79,84,44,2026-07-20,6,DEL-ROAD-003,FALSE,Rohini outfall channel,Delhi PWD Drainage Dept.,critical
DEL-D-004,Rohini,stormwater_channel,0.69,1.01,0.99,41,28,2026-07-06,0,DEL-ROAD-004,FALSE,Rohini outfall channel,Delhi PWD Drainage Dept.,needs_cleaning
DEL-D-005,Rohini,underground_conduit,1.70,1.05,3.04,45,7,2026-08-10,1,DEL-ROAD-005,TRUE,Rohini outfall channel,Delhi PWD Drainage Dept.,normal
DEL-D-006,Rohini,culvert,0.67,1.01,1.14,39,23,2026-07-06,2,DEL-ROAD-006,FALSE,Rohini outfall channel,Delhi PWD Drainage Dept.,normal
DEL-D-007,Rohini,box_drain,1.69,1.66,5.91,53,21,2026-06-25,2,DEL-ROAD-007,TRUE,Rohini outfall channel,Delhi PWD Drainage Dept.,normal
DEL-D-008,Rohini,roadside_open,0.70,0.69,0.72,53,40,2026-08-17,3,DEL-ROAD-008,TRUE,Rohini outfall channel,Delhi PWD Drainage Dept.,critical
DEL-D-009,Rohini,underground_conduit,1.27,1.67,3.77,77,28,2026-06-16,3,DEL-ROAD-009,FALSE,Rohini outfall channel,Delhi PWD Drainage Dept.,needs_cleaning
DEL-D-010,Dwarka,underground_conduit,1.26,1.50,3.43,54,45,2026-08-10,3,DEL-ROAD-010,FALSE,Dwarka outfall channel,Delhi PWD Drainage Dept.,critical
