drain_id,zone,drain_type,diameter_or_width_m,depth_m,capacity_m3_per_second,current_load_percent,blockage_percent,last_cleaning_date,overflow_history_count,connected_roads,pumping_station_connected,outfall_location,responsible_department,status
MUM-D-001,Andheri,roadside_open,1.57,1.76,5.74,60,32,2026-06-29,3,MUM-ROAD-001,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-002,Andheri,underground_conduit,1.03,1.28,2.33,66,16,2026-07-28,3,MUM-ROAD-002,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,normal
MUM-D-003,Andheri,roadside_open,1.89,1.39,5.51,76,22,2026-07-06,4,MUM-ROAD-003,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,under_observation
MUM-D-004,Andheri,underground_conduit,1.23,1.77,4.47,84,47,2026-06-15,3,MUM-ROAD-004,TRUE,Andheri outfall channel,BMC Storm Water Drainage Dept.,critical
MUM-D-005,Andheri,box_drain,1.25,0.99,2.83,88,16,2026-07-22,6,MUM-ROAD-005,TRUE,Andheri outfall channel,BMC Storm Water Drainage Dept.,critical
MUM-D-006,Andheri,roadside_open,2.04,1.06,4.19,39,37,2026-06-30,3,MUM-ROAD-006,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-007,Andheri,underground_conduit,1.46,1.57,4.98,73,39,2026-06-29,5,MUM-ROAD-007,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-008,Andheri,culvert,2.04,1.57,7.53,77,25,2026-06-29,6,MUM-ROAD-008,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,under_observation
MUM-D-009,Andheri,stormwater_channel,1.29,1.46,4.01,67,22,2026-07-28,4,MUM-ROAD-009,FALSE,Andheri outfall channel,BMC Storm Water Drainage Dept.,normal
MUM-D-010,Kurla,stormwater_channel,0.88,0.63,0.80,87,23,2026-06-16,1,MUM-ROAD-010,TRUE,Kurla outfall channel,BMC Storm Water Drainage Dept.,critical
MUM-D-011,Kurla,stormwater_channel,1.30,1.68,4.16,48,26,2026-07-08,0,MUM-ROAD-011,FALSE,Kurla outfall channel,BMC Storm Water Drainage Dept.,normal
MUM-D-012,Kurla,box_drain,1.03,1.17,2.39,48,28,2026-07-19,6,MUM-ROAD-012,FALSE,Kurla outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-013,Kurla,underground_conduit,1.07,1.63,2.75,44,10,2026-07-03,6,MUM-ROAD-013,TRUE,Kurla outfall channel,BMC Storm Water Drainage Dept.,normal
MUM-D-014,Kurla,roadside_open,1.35,0.91,2.29,56,33,2026-06-18,3,MUM-ROAD-014,TRUE,Kurla outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-015,Kurla,box_drain,1.63,1.28,3.30,79,6,2026-07-05,0,MUM-ROAD-015,FALSE,Kurla outfall channel,BMC Storm Water Drainage Dept.,under_observation
MUM-D-016,Kurla,box_drain,1.46,1.67,5.45,65,38,2026-08-09,2,MUM-ROAD-016,TRUE,Kurla outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-017,Kurla,roadside_open,1.00,1.48,2.23,63,16,2026-08-05,5,MUM-ROAD-017,FALSE,Kurla outfall channel,BMC Storm Water Drainage Dept.,normal
MUM-D-018,Kurla,roadside_open,0.89,1.57,3.14,75,41,2026-08-11,4,MUM-ROAD-018,TRUE,Kurla outfall channel,BMC Storm Water Drainage Dept.,critical
MUM-D-019,Dadar,underground_conduit,0.83,0.92,1.31,76,32,2026-08-14,2,MUM-ROAD-019,FALSE,Dadar outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-020,Dadar,underground_conduit,0.87,0.75,1.36,70,39,2026-07-30,5,MUM-ROAD-020,FALSE,Dadar outfall channel,BMC Storm Water Drainage Dept.,needs_cleaning
MUM-D-021,Dadar,roadside_open,0.95,0.74,1.60,81,4,2026-07-05,5,MUM-ROAD-021,TRUE,Dadar outfall channel,BMC Storm Water Drainage Dept.,under_observation
MUM-D-022,Dadar,underground_conduit,0.78,1.08,1.83,88,46,2026-06-20,2,MUM-ROAD-022,FALSE,Dadar outfall channel,BMC Storm Water Drainage Dept.,critical
